Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
B1,09/08/02,Genk,Lokeren,2,3,A,0,1,A,1.444,3.75,6,1.58,3.61,5.21,1.55,3.4,4.5,1.5,3.6,5.5,1.55,3.6,4.8,,
B1,09/08/02,Standard,Mouscron,0,3,A,0,0,D,1.615,3.25,5,1.73,3.36,4.45,1.6,3.3,4.2,1.667,3.4,4.333,1.65,3.45,4.2,,
B1,10/08/02,Beveren,Bergen,3,0,H,2,0,H,2.2,3.25,2.75,2.2,3.2,2.86,2.1,3,3,2.2,3.2,2.8,2.15,3.3,2.75,1.65,1.95
B1,10/08/02,Gent,Antwerp,0,0,D,0,0,D,1.5,3.4,6,1.5,3.6,5.7,1.5,3.5,4.7,1.5,3.6,5.5,1.55,3.5,5,,
B1,10/08/02,Germinal,St Truiden,3,2,H,2,1,H,1.8,3.25,3.75,1.76,3.25,4.2,1.8,3.1,3.6,1.8,3.3,3.75,1.85,3.3,3.45,1.7,1.9
B1,10/08/02,Mechelen,Charleroi,1,0,H,0,0,D,2,3.2,3.2,2.01,3.2,3.28,1.9,3.2,3.1,1.909,3.25,3.4,2.05,3.3,2.9,1.7,1.9
B1,10/08/02,Westerlo,Anderlecht,0,2,A,0,1,A,4,3.4,1.727,3.85,3.3,1.81,3.9,3.2,1.7,3.75,3.3,1.8,3.75,3.35,1.75,,
B1,11/08/02,Louvieroise,Club Brugge,1,2,A,1,1,D,4.333,3.4,1.667,4.2,3.45,1.7,3.9,3.2,1.7,4.2,3.3,1.727,3.6,3.3,1.8,1.6,2.06
B1,17/08/02,Anderlecht,Mechelen,4,1,H,3,1,H,1.222,5,9,1.24,5,10.35,1.2,5,10,1.222,5,10,1.25,4.5,8.5,1.4,2.35
B1,17/08/02,Antwerp,Genk,2,4,A,0,2,A,3.2,3.2,2,3.2,3.15,2,3,3.1,2.1,3,3.2,2.1,3.2,3.1,2,1.6,2
B1,17/08/02,Bergen,Westerlo,2,1,H,0,0,D,2.2,3.25,2.75,2.3,3.2,2.62,2.4,3.1,2.4,2.25,3.2,2.7,2.15,3.3,2.75,1.6,2
B1,17/08/02,Club Brugge,Beveren,3,0,H,2,0,H,1.2,5,11,1.24,5,10.35,1.2,5,10,1.222,5,10,1.2,5.25,9,1.4,2.35
B1,17/08/02,Lierse,Louvieroise,1,1,D,0,0,D,1.667,3.4,4.333,1.68,3.35,4.25,1.7,3.3,4,1.615,3.4,4.75,1.7,3.4,4,,
B1,17/08/02,Lokeren,Germinal,3,1,H,2,0,H,1.8,3.25,3.75,1.78,3.3,3.8,1.8,3.2,3.7,1.8,3.25,3.8,1.75,3.4,3.75,1.6,2
B1,18/08/02,Charleroi,Standard,3,3,D,2,1,H,2.7,3.25,2.25,2.72,3.05,2.3,2.4,3.1,2.4,2.7,3.1,2.3,2.45,3.1,2.45,1.65,1.9
B1,18/08/02,Mouscron,Gent,2,1,H,0,0,D,1.8,3.25,3.75,1.86,3.3,3.54,1.8,3.2,3.7,1.833,3.3,3.6,1.7,3.35,4.05,1.57,2.12
B1,24/08/02,Antwerp,Mouscron,3,1,H,3,0,H,2.75,3.25,2.2,2.85,3.25,2.25,3.1,3,2.1,2.8,3.2,2.2,2.45,3.3,2.35,1.55,2.15
B1,24/08/02,Gent,Charleroi,2,1,H,0,1,A,1.615,3.25,5,1.63,3.5,5,1.5,3.7,5,1.615,3.5,4.5,1.6,3.4,4.6,1.55,2.15
B1,24/08/02,Lierse,Beveren,5,0,H,5,0,H,1.533,3.4,5.5,1.57,3.65,5.25,1.55,3.5,4.8,1.571,3.5,5,1.5,3.55,5.25,1.5,2.25
B1,24/08/02,Mechelen,Bergen,0,0,D,0,0,D,1.8,3.4,3.6,1.71,3.5,4.25,1.85,3.2,3.5,1.75,3.4,3.8,1.75,3.4,3.7,1.55,2.15
B1,24/08/02,Standard,Anderlecht,0,2,A,0,0,D,2.75,3.25,2.2,2.8,3.25,2.22,2.4,3.1,2.4,2.8,3.2,2.2,2.75,3.1,2.3,1.6,2.07
B1,24/08/02,Westerlo,Club Brugge,0,2,A,0,1,A,4.5,3.5,1.615,4.65,3.65,1.63,4.6,3.4,1.6,4.6,3.5,1.615,4.4,3.5,1.6,1.5,2.25
B1,25/08/02,Louvieroise,St Truiden,1,2,A,0,1,A,2,3.2,3.2,2.12,3.25,3.1,2,3.1,3.2,2.1,3.2,3,1.95,3.2,3.25,1.7,1.9
B1,31/08/02,Anderlecht,Gent,2,2,D,2,1,H,1.25,5,8,1.29,4.75,8,1.35,4,7,1.364,4,7,1.35,4.2,6.25,1.5,2.25
B1,31/08/02,Bergen,Standard,1,0,H,0,0,D,3,3.2,2.1,2.92,3.25,2.1,3.1,3.2,2,2.875,3.3,2.1,2.65,3.25,2.2,1.6,2.05
B1,31/08/02,Charleroi,Antwerp,1,1,D,0,1,A,1.8,3.4,3.75,1.79,3.35,3.8,1.9,3.1,3.5,1.9,3.25,3.4,1.9,3.3,3.25,1.6,2.05
B1,31/08/02,Club Brugge,Mechelen,4,0,H,2,0,H,1.143,6,12,1.16,5.85,12,1.15,6,12,1.167,5.5,12,1.2,5.2,9,1.4,2.55
B1,31/08/02,Lierse,Westerlo,0,1,A,0,0,D,1.615,3.4,4.5,1.57,3.6,5,1.75,3.2,4,1.667,3.3,4.5,1.6,3.4,4.6,1.6,2.05
B1,31/08/02,Lokeren,Louvieroise,1,1,D,0,1,A,1.5,3.4,6,1.48,3.75,5.5,1.5,3.7,5,1.533,3.4,5.5,1.55,3.55,4.8,1.5,2.25
B1,31/08/02,St Truiden,Beveren,6,1,H,3,0,H,1.615,3.4,4.5,1.55,3.55,5.1,1.6,3.4,4.6,1.533,3.5,5.25,1.5,3.5,5.5,1.6,2.05
B1,01/09/02,Mouscron,Genk,3,3,D,0,1,A,2.4,3.25,2.4,2.55,3.25,2.45,2.4,3.1,2.4,2.5,3.25,2.4,2.3,3.25,2.55,1.5,2.25
B1,11/09/02,Genk,Germinal,5,2,H,2,1,H,1.5,3.6,5.5,1.48,3.4,6.5,1.45,3.8,5.4,1.533,3.5,5.5,1.5,3.6,5.2,1.85,1.75
B1,13/09/02,Standard,Club Brugge,1,2,A,0,1,A,3,3.2,2.1,3.2,3.3,2,3.2,3.1,2,3.2,3.2,2,3.2,3.2,2,,
B1,14/09/02,Beveren,Lokeren,0,1,A,0,0,D,3.2,3.2,2,3.25,3.25,2,3,3.1,2.1,3.2,3.2,2,2.75,3.25,2.15,1.6,2.05
B1,14/09/02,Gent,Bergen,2,1,H,0,1,A,1.533,3.4,5.5,1.51,3.7,5.6,1.6,3.4,4.6,1.533,3.4,5.5,1.6,3.4,4.6,1.5,2.25
B1,14/09/02,Mechelen,Lierse,0,2,A,0,1,A,1.909,3.25,2.5,2.35,3.25,2.65,2.3,3.1,2.6,2.4,3.25,2.5,2.3,3.2,2.6,1.65,1.95
B1,14/09/02,Mouscron,Charleroi,6,0,H,3,0,H,1.533,3.4,5.5,1.5,3.7,5.6,1.4,3.9,6,1.5,3.6,5.5,1.5,3.55,5.3,1.5,2.25
B1,14/09/02,Westerlo,St Truiden,0,3,A,0,1,A,2.25,3.2,2.75,2.25,3.25,2.75,2.1,3.1,3,2.25,3.25,2.7,2.2,3.2,2.7,1.65,1.95
B1,15/09/02,Antwerp,Anderlecht,2,1,H,0,1,A,4,3.6,1.667,4,3.4,1.75,4.6,3.4,1.6,4.333,3.4,1.667,3.9,3.4,1.7,1.6,2.05
B1,15/09/02,Louvieroise,Germinal,1,1,D,0,0,D,2.3,3.2,2.625,2.3,3.2,2.7,2.2,3.1,2.8,2.3,3.2,2.625,2.2,3.2,2.7,1.6,2.05
B1,21/09/02,Bergen,Antwerp,3,0,H,1,0,H,2.25,3.3,2.625,2.25,3.5,2.7,2.2,3.1,2.8,2.2,3.3,2.7,2.05,3.3,2.9,1.6,2
B1,21/09/02,Charleroi,Genk,0,0,D,0,0,D,3.6,3.3,1.833,3.75,3.4,1.8,3.6,3.2,1.8,3.6,3.4,1.8,3.35,3.25,1.9,1.45,2.4
B1,21/09/02,Club Brugge,Gent,1,0,H,1,0,H,1.3,4.333,8,1.36,4.4,7.5,1.4,3.9,6,1.333,4.333,7,1.33,4,8,1.45,2.35
B1,21/09/02,Germinal,Beveren,2,1,H,1,1,D,1.364,3.8,7.5,1.39,4.25,7.6,1.35,4,7,1.333,4.333,7,1.35,3.75,8,1.45,2.35
B1,21/09/02,Lierse,Standard,2,0,H,1,0,H,2.1,3.3,2.875,2.3,3.3,3,2.1,3.2,2.9,2.1,3.25,2.9,2.25,3.25,2.6,1.65,1.95
B1,21/09/02,St Truiden,Mechelen,5,1,H,3,0,H,1.615,3.5,4.5,1.5,3.65,5.5,1.55,3.5,4.8,1.533,3.5,5,1.5,3.4,5.75,1.65,1.95
B1,22/09/02,Lokeren,Westerlo,4,0,H,0,0,D,1.571,3.5,5,1.55,3.7,5.4,1.6,3.4,4.6,1.533,3.4,5.5,1.55,3.5,4.8,1.6,2
B1,23/09/02,Anderlecht,Mouscron,6,3,H,3,1,H,1.5,3.6,5.5,1.51,4,6.15,1.45,3.8,5.4,1.45,3.6,6,1.57,3.5,5,1.45,2.45
B1,27/09/02,Charleroi,Anderlecht,1,3,A,0,2,A,4.333,3.4,1.667,4.6,3.45,1.64,4,3.3,1.7,4.33,3.4,1.67,3.8,3.3,1.75,1.5,2.35
B1,28/09/02,Antwerp,Club Brugge,2,2,D,1,1,D,4.333,3.4,1.667,4.12,3.5,1.68,4,3.3,1.7,4.33,3.4,1.67,3.8,3.3,1.75,1.45,2.53
B1,28/09/02,Genk,Louvieroise,1,0,H,0,0,D,1.286,4.5,8,1.29,4.55,8.15,1.3,4.2,8,1.3,4.33,8,1.3,4,8.5,1.4,2.5
B1,28/09/02,Gent,Lierse,1,3,A,0,3,A,1.833,3.4,3.5,1.87,3.3,3.5,1.85,3.2,3.5,1.85,3.25,3.6,1.85,3.3,3.4,1.55,2.15
B1,28/09/02,Mouscron,Bergen,3,2,H,2,2,D,1.5,3.6,5.5,1.4,3.9,7,1.4,3.9,6,1.44,3.75,6,1.4,3.6,7,1.45,2.35
B1,28/09/02,Standard,St Truiden,2,2,D,1,1,D,2,3.2,3.2,1.93,3.35,3.5,2.1,3.2,2.9,2,3.2,3.2,2.05,3.2,3,1.6,2.05
B1,28/09/02,Westerlo,Germinal,2,1,H,1,1,D,2.25,3.2,2.75,2.27,3.25,2.7,2.3,3.2,2.5,2.25,3.25,2.7,2.2,3.2,2.7,1.55,2.1
B1,29/09/02,Mechelen,Lokeren,2,3,A,0,1,A,,,,3.05,3.3,2.05,,,,,,,,,,,
B1,04/10/02,Louvieroise,Beveren,2,1,H,0,0,D,1.8,3.4,3.6,1.7,3.45,4.35,1.55,3.5,4.8,1.667,3.4,4.333,1.65,3.4,4.3,,
B1,05/10/02,Bergen,Charleroi,4,1,H,1,0,H,1.727,3.4,4,1.82,3.35,3.85,1.7,3.2,4.2,1.75,3.3,4,1.7,3.5,3.8,1.6,2
B1,05/10/02,Germinal,Mechelen,2,2,D,2,1,H,,,,,,,,,,,,,,,,,
B1,05/10/02,Lierse,Antwerp,3,1,H,0,0,D,1.615,3.4,5,1.72,3.45,4.35,1.65,3.3,4.4,1.667,3.4,4.333,1.65,3.35,4.3,1.65,1.95
B1,05/10/02,Lokeren,Standard,3,3,D,1,1,D,1.8,3.4,3.6,1.8,3.35,3.95,1.8,3.3,3.6,1.727,3.4,4,1.7,3.3,4.1,1.6,2
B1,05/10/02,St Truiden,Gent,6,4,H,3,2,H,1.833,3.4,3.5,1.98,3.3,3.6,2,3.1,3.2,1.85,3.3,3.5,1.85,3.25,3.5,1.65,1.95
B1,06/10/02,Anderlecht,Genk,1,1,D,1,0,H,1.727,3.2,4.333,1.75,3.4,3.85,1.8,3.2,3.7,1.75,3.3,4,1.72,3.25,4.2,1.45,2.55
B1,06/10/02,Club Brugge,Mouscron,5,0,H,1,0,H,1.4,3.75,7,1.37,4.1,7.25,1.4,3.9,6,1.364,4,7,1.4,3.6,7.5,1.85,1.75
B1,19/10/02,Anderlecht,Bergen,2,1,H,0,0,D,1.2,5,11,1.24,5,10,1.2,5,10,1.222,5,9.5,1.2,4.9,10,1.4,2.63
B1,19/10/02,Antwerp,St Truiden,1,3,A,1,2,A,2.4,3.25,2.5,2.48,3.2,2.55,2.3,3.1,2.6,2.4,3.2,2.5,2.25,3.4,2.5,1.6,2.03
B1,19/10/02,Charleroi,Club Brugge,2,3,A,1,1,D,5,3.75,1.5,5.5,3.7,1.5,5,3.7,1.5,5.5,3.6,1.5,5.25,3.6,1.5,1.4,2.47
B1,19/10/02,Genk,Beveren,4,0,H,3,0,H,1.2,5,11,1.23,5.5,13,1.15,6,12,1.2,5,11,1.2,5,10,1.5,2.22
B1,19/10/02,Gent,Lokeren,2,3,A,0,3,A,2.2,3.4,2.75,2.3,3.2,2.8,2.2,3.1,2.8,2.25,3.2,2.75,2.2,3.25,2.7,1.45,2.22
B1,19/10/02,Standard,Germinal,2,1,H,1,0,H,1.8,3.4,3.6,1.7,3.35,4.4,1.7,3.2,4.2,1.727,3.4,4,1.9,3.25,3.35,,
B1,20/10/02,Mouscron,Lierse,1,1,D,0,0,D,2.2,3.25,2.75,2.15,3.25,3.1,1.9,3.2,3.4,2.1,3.2,3,2.15,3.2,2.8,1.5,2.28
B1,20/10/02,Westerlo,Louvieroise,0,3,A,0,2,A,2,3.2,3.2,2.12,3.25,3.2,2.2,3.1,2.8,2,3.2,3.2,1.9,3.25,3.3,1.6,2.05
B1,26/10/02,Bergen,Genk,1,2,A,0,1,A,2.75,3.25,2.2,3.15,3.3,2.1,3.1,3.2,2,3,3.25,2.1,2.75,3.2,2.2,1.5,2.15
B1,26/10/02,Beveren,Westerlo,2,1,H,1,0,H,2.2,3.25,2.75,2.2,3.3,2.85,2.2,3.1,2.8,2.15,3.25,2.9,2.1,3.3,2.8,1.5,2.2
B1,26/10/02,Germinal,Gent,2,1,H,2,0,H,1.8,3.3,3.75,1.8,3.4,3.85,1.9,3.2,3.4,1.833,3.4,3.6,1.9,3.3,3.3,1.4,2.3
B1,26/10/02,Lierse,Charleroi,2,1,H,1,0,H,1.364,4,7,1.46,3.7,6.7,1.4,3.9,6,1.4,3.8,7,1.3,4.2,8,1.45,2.3
B1,28/10/02,Lokeren,Antwerp,2,1,H,1,0,H,1.571,3.5,5,1.62,3.5,5,1.55,3.5,4.8,1.571,3.6,5,1.55,3.6,4.8,1.45,2.4
B1,28/10/02,Louvieroise,Mechelen,1,1,D,1,1,D,1.8,3.3,3.75,1.76,3.5,3.95,1.7,3.3,4,1.75,3.4,4,1.7,3.5,3.8,1.49,2.2
B1,02/11/02,Bergen,Club Brugge,1,2,A,0,0,D,4,3.4,1.727,4.25,3.5,1.71,3.8,3.3,1.75,4.333,3.4,1.667,4.2,3.4,1.65,,
B1,02/11/02,Charleroi,St Truiden,2,2,D,1,0,H,2.8,3.4,2.1,3.2,3.2,2.05,2.7,3.2,2.2,3,3.4,2,3.15,3.4,1.9,,
B1,02/11/02,Mouscron,Lokeren,1,1,D,1,1,D,2.1,3.4,2.8,2.2,3.25,2.85,2.2,3.1,2.8,2.2,3.25,2.75,2.1,3.3,2.8,,
B1,02/11/02,Standard,Louvieroise,1,0,H,0,0,D,1.8,3.3,3.75,1.76,3.45,4,1.8,3.2,3.7,1.75,3.4,3.8,1.75,3.35,3.8,,
B1,03/11/02,Antwerp,Germinal,5,3,H,2,3,A,2.25,3.2,2.75,2.4,3.1,2.7,2.4,3.2,2.4,2.2,3.25,2.75,2.3,3.15,2.6,,
B1,03/11/02,Genk,Westerlo,1,1,D,1,1,D,1.2,5,11,1.23,5.35,10,1.25,4.5,9,1.222,5,9,1.2,5,10,,
B1,03/11/02,Mechelen,Beveren,0,2,A,0,2,A,1.8,3.5,3.5,1.76,3.45,4,1.7,3.3,4,,,,,,,,
B1,04/11/02,Anderlecht,Lierse,1,2,A,1,1,D,1.5,3.6,5.5,1.53,3.65,5.5,1.55,3.5,4.8,1.5,3.6,5.5,1.5,3.6,5.2,1.58,2.33
B1,08/11/02,St Truiden,Anderlecht,3,1,H,0,1,A,2.75,3.25,2.2,2.77,3.3,2.31,2.9,3.2,2.1,2.6,3.25,2.3,2.55,3.2,2.3,1.5,2.25
B1,09/11/02,Club Brugge,Genk,4,0,H,2,0,H,1.72,3.25,4.2,1.72,3.35,4.35,1.7,3.3,4,1.6,3.4,4.75,1.66,3.3,4.5,1.5,2.25
B1,09/11/02,Germinal,Mouscron,0,2,A,0,0,D,1.83,3.25,3.6,1.82,3.35,3.75,2,3.2,3.1,1.8,3.3,3.75,1.8,3.4,3.5,1.6,2
B1,09/11/02,Lokeren,Charleroi,4,1,H,1,1,D,1.33,4,8,1.35,4.35,9,1.35,4,7,1.364,3.75,8,1.3,4.5,7,1.55,2.1
B1,09/11/02,Louvieroise,Gent,0,1,A,0,1,A,1.9,3.25,3.4,2,3.25,3.25,2.2,3.1,2.8,1.85,3.3,3.5,1.95,3.3,3.1,1.65,1.95
B1,09/11/02,Westerlo,Mechelen,2,0,H,0,0,D,1.9,3.25,3.4,,,,,,,,,,,,,,
B1,10/11/02,Beveren,Standard,1,3,A,0,2,A,2.7,3.25,2.25,2.8,3.15,2.3,2.8,3.1,2.2,2.6,3.25,2.3,2.45,3.3,2.35,1.7,2
B1,10/11/02,Lierse,Bergen,1,1,D,0,1,A,1.5,3.5,5.5,1.45,4,6.65,1.45,3.8,5.4,1.444,3.75,6,1.4,3.7,6.5,1.5,2.5
B1,20/11/02,St Truiden,Mouscron,2,2,D,0,1,A,1.727,3.25,4.2,1.78,3.36,4.1,1.85,3.1,3.6,1.7,3.25,4.333,1.75,3.4,3.7,1.45,2.35
B1,22/11/02,Anderlecht,Lokeren,2,0,H,0,0,D,1.615,3.6,4.333,1.65,3.5,5,1.65,3.3,4.4,1.615,3.5,4.5,1.7,3.4,3.9,1.4,2.7
B1,23/11/02,Antwerp,Louvieroise,2,1,H,2,1,H,1.8,3.4,3.6,1.85,3.25,3.65,1.85,3.2,3.5,1.8,3.4,3.6,1.7,3.5,3.8,1.55,2.15
B1,23/11/02,Bergen,St Truiden,3,0,H,1,0,H,2.5,3.25,2.375,2.5,3.2,2.45,2.4,3.2,2.4,2.5,3.25,2.4,2.5,3.15,2.4,1.4,2.5
B1,23/11/02,Charleroi,Germinal,1,6,A,1,2,A,2.25,3.25,2.6,2.4,3.2,2.55,2.3,3.2,2.5,2.375,3.3,2.5,2.45,3.1,2.5,1.45,2.35
B1,23/11/02,Club Brugge,Lierse,3,0,H,1,0,H,1.5,3.6,5.5,1.53,3.55,5.75,1.45,3.8,5.4,1.5,3.6,5.5,1.45,3.75,5.5,1.4,2.5
B1,23/11/02,Genk,Mechelen,9,0,H,4,0,H,,,,1.24,5.25,9,1.25,4.5,9,,,,,,,,
B1,23/11/02,Standard,Westerlo,3,0,H,1,0,H,1.5,3.6,5.5,1.55,3.55,5.75,1.55,3.5,4.8,1.5,3.6,5.5,1.5,3.75,5,1.5,2.25
B1,24/11/02,Gent,Beveren,2,1,H,2,0,H,1.5,3.6,5.5,1.53,3.55,5.75,1.4,3.9,6,1.5,3.6,5.5,1.5,3.5,5.5,1.4,2.5
B1,30/11/02,Beveren,Antwerp,3,1,H,2,0,H,2.375,3.25,2.5,2.3,3.2,2.65,2.4,3.2,2.4,2.4,3.2,2.5,2.4,3.3,2.4,1.45,2.35
B1,30/11/02,Lokeren,Bergen,4,0,H,1,0,H,1.533,3.5,5.5,1.5,3.7,5.4,1.55,3.5,4.8,1.533,3.6,5,1.55,3.7,4.6,1.45,2.35
B1,30/11/02,Louvieroise,Mouscron,2,0,H,1,0,H,2.5,3.1,2.5,2.5,3.1,2.5,2.6,3.1,2.3,2.4,3.2,2.5,2.4,3.3,2.4,1.6,2.05
B1,30/11/02,Mechelen,Standard,1,1,D,0,0,D,,,,,,,,,,,,,,,,,
B1,30/11/02,Westerlo,Gent,1,0,H,0,0,D,2.4,3.2,2.5,2.4,3.25,2.5,2.4,3.2,2.4,2.4,3.25,2.5,2.35,3.3,2.45,1.45,2.35
B1,01/12/02,Germinal,Anderlecht,1,2,A,1,1,D,2.625,3.4,2.2,2.8,3.25,2.2,2.9,3.2,2.1,2.875,3.3,2.1,2.65,3.3,2.2,1.55,2.15
B1,01/12/02,Lierse,Genk,1,1,D,0,0,D,2.375,3.25,2.5,2.15,3.2,2.9,2.4,3.2,2.4,2.3,3.25,2.6,2.2,3.3,2.65,1.55,2.15
B1,01/12/02,St Truiden,Club Brugge,5,2,H,1,1,D,3.25,3.4,1.9,3.3,3.15,2,3.4,3.2,1.9,3.4,3.25,1.909,3.25,3.3,1.9,1.4,2.5
B1,04/12/02,Club Brugge,Lokeren,5,0,H,1,0,H,1.444,3.75,6,1.44,3.7,6.3,1.4,3.9,6,1.5,3.6,5.5,1.45,3.6,5.8,1.6,2.05,
B1,07/12/02,Antwerp,Westerlo,1,2,A,1,1,D,1.727,3.4,4,1.7,3.45,4.15,1.7,3.3,4,1.667,3.5,4.2,1.7,3.4,3.9,1.45,2.35,
B1,07/12/02,Charleroi,Louvieroise,1,1,D,0,0,D,2.5,3.25,2.375,2.45,3.3,2.45,2.4,3.2,2.4,2.5,3.25,2.4,2.4,3.3,2.4,1.65,1.95,
B1,07/12/02,Club Brugge,Anderlecht,2,1,H,0,1,A,1.833,3.4,3.6,1.85,3.35,3.6,1.8,3.2,3.7,1.833,3.3,3.6,1.83,3.3,3.6,1.6,2.05,
B1,07/12/02,Mouscron,Beveren,0,0,D,0,0,D,1.444,3.75,6,1.45,3.8,6,1.4,3.9,6,1.4,3.8,6.5,1.45,3.8,5.5,1.5,2.25,
B1,08/12/02,Bergen,Germinal,2,1,H,2,0,H,1.833,3.4,3.5,1.9,3.35,3.4,2,3.2,3.1,1.8,3.3,3.75,1.9,3.3,3.25,1.5,2.25,
B1,08/12/02,Genk,Standard,1,5,A,0,4,A,1.615,3.25,5,1.7,3.45,4.2,1.7,3.3,4,1.6,3.3,5,1.8,3.4,3.5,1.5,2.25,
B1,08/12/02,Gent,Mechelen,2,0,H,2,0,H,1.444,3.75,6,1.4,4,6.5,,,,,,,,,,1.5,2.25,
B1,08/12/02,Lierse,St Truiden,0,2,A,0,1,A,2,3.2,3.2,2,3.35,3.25,2,3.2,3.1,2,3.2,3.2,1.9,3.3,3.25,1.5,2.25,
B1,13/12/02,St Truiden,Genk,0,1,A,0,0,D,2.1,3.25,2.9,2.14,3.2,3,2.2,3.1,2.8,2,3.2,3.2,1.95,3.2,3.2,1.5,2.25,
B1,14/12/02,Lokeren,Lierse,1,1,D,0,1,A,1.909,3.25,3.4,1.95,3.25,3.3,1.85,3.2,3.5,1.909,3.25,3.4,1.8,3.3,3.6,1.5,2.25,
B1,14/12/02,Mechelen,Antwerp,0,2,A,0,1,A,,,,,,,,,,,,,,,,,,
B1,15/12/02,Beveren,Charleroi,3,0,H,1,0,H,1.727,3.4,4,1.7,3.35,4.25,1.75,3.3,3.8,1.667,3.4,4.333,1.65,3.4,4.25,1.5,2.25,
B1,15/12/02,Germinal,Club Brugge,1,3,A,0,1,A,4,3.4,1.727,4.15,3.4,1.7,4,3.3,1.7,4.333,3.4,1.667,3.9,3.4,1.7,1.4,2.5,
B1,15/12/02,Louvieroise,Anderlecht,1,2,A,1,0,H,3.6,3.4,1.8,3.6,3.3,1.85,4,3.3,1.7,4,3.3,1.75,3.45,3.3,1.85,1.6,2.05,
B1,15/12/02,Standard,Gent,4,1,H,1,1,D,1.667,3.4,4.333,1.7,3.35,4.25,1.75,3.3,3.8,1.667,3.4,4.333,1.65,3.45,4.1,1.5,2.25,
B1,15/12/02,Westerlo,Mouscron,1,2,A,0,1,A,2.2,3.3,2.75,2.25,3.25,2.7,2.3,3.1,2.6,2.2,3.25,2.75,2.15,3.3,2.7,1.55,2.15,,
B1,21/12/02,Anderlecht,Beveren,7,1,H,3,0,H,1.2,5,11,1.21,5.5,11,1.25,4.5,9,1.2,5.5,9,1.25,4.5,9,1.33,2.75,,
B1,21/12/02,Bergen,Louvieroise,1,3,A,1,2,A,1.8,3.3,3.75,1.75,3.5,4,1.7,3.3,4,1.727,3.4,4,1.65,3.5,4.1,1.6,2.05,,
B1,21/12/02,Charleroi,Westerlo,1,0,H,0,0,D,2.4,3.4,2.4,2.5,3.25,2.5,,,,2.4,3.25,2.5,2.4,3.3,2.4,1.5,2.25,,
B1,21/12/02,Gent,Genk,2,0,H,0,0,D,2.5,3.25,2.375,2.5,3.25,2.5,2.4,3.2,2.4,2.5,3.25,2.4,2.4,3.3,2.4,1.45,2.35,,
B1,21/12/02,Lierse,Germinal,2,1,H,0,0,D,1.571,3.5,5,1.65,3.6,4.5,1.7,3.3,4,1.615,3.5,4.5,1.6,3.6,4.25,1.45,2.35,,
B1,21/12/02,Mouscron,Mechelen,3,1,H,2,0,H,,,,,,,,,,,,,,,,,,,
